book,chapter,verse,content_mismatch_summary,issue_count,order_differs_from_greek_syntax_informational_only,tr_scrivener_sequence,db_sequence,content_mismatch_detail
1Th,1,8,strongs_mismatch,1,yes,"ἀφ᾽ ὑμῶν γὰρ ἐξήχηται ὁ λόγος τοῦ κυρίου οὐ μόνον ἐν τῇ Μακεδονίᾳ καὶ Ἀχαΐᾳ, ἀλλ᾽ καὶ ἐν παντὶ τόπῳ ἡ πίστις ὑμῶν ἡ πρὸς τὸν θεὸν ἐξελήλυθεν, ὥστε μὴ χρείαν ἔχειν ἡμᾶς λαλεῖν τι.",γαρ αφ υμων εξηχηται ὁ λογος ὁ κυριου ου μονον εν ὁ μακεδονια και αχαια αλλα και εν παντι τοπω υμων ὁ πιστις προς ὁ θεον εξεληλυθεν ωστε ημας εχειν μη λαλειν τι η χρειαν,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
1Th,1,9,word_substitution,1,yes,"αὐτοὶ γὰρ περὶ ἡμῶν ἀπαγγέλλουσιν ὁποίαν εἴσοδον ἔχομεν πρὸς ὑμᾶς, καὶ πῶς ἐπεστρέψατε πρὸς τὸν θεὸν ἀπὸ τῶν εἰδώλων δουλεύειν θεῷ ζῶντι καὶ ἀληθινῷ",γαρ αυτοι απαγγελλουσιν περι ημων οποιαν εισοδον εσχομεν προς υμας και πως επεστρεψατε προς ὁ θεον απο ὁ ειδωλων δουλευειν ζωντι και αληθινω θεω,"DIFFERENT FORM: same Strong's G2192, TR 'ἔχομεν' vs DB 'εσχομεν'"
1Th,2,6,extra_word,7,yes,"οὔτε ζητοῦντες ἐξ ἀνθρώπων δόξαν οὔτε ἀφ᾽ ὑμῶν οὔτε ἀπ᾽ ἄλλων,",ουτε εξ ανθρωπων ζητουντες δοξαν ουτε αφ υμων ουτε απ αλλων δυναμενοι ειναι ἐν βαρει ως αποστολοι χριστου,"EXTRA: DB has 'δυναμενοι' (G1410), no TR counterpart anywhere in verse | EXTRA: DB has 'ειναι' (G1510), no TR counterpart anywhere in verse | EXTRA: DB has 'ἐν' (G1722), no TR counterpart anywhere in verse | EXTRA: DB has 'βαρει' (G0922), no TR counterpart anywhere in verse | EXTRA: DB has 'ως' (G5613), no TR counterpart anywhere in verse | EXTRA: DB has 'αποστολοι' (G0652), no TR counterpart anywhere in verse | EXTRA: DB has 'χριστου' (G5547), no TR counterpart anywhere in verse"
1Th,2,8,strongs_mismatch,1,yes,"οὕτως ἱμειρόμενοι ὑμῶν εὐδοκοῦμεν μεταδοῦναι ὑμῖν οὐ μόνον τὸ εὐαγγέλιον τοῦ θεοῦ ἀλλὰ καὶ τὰς ἑαυτῶν ψυχάς, διότι ἀγαπητοὶ ἡμῖν γεγένησθε",τας ουτως ιμειρομενοι υμων ευδοκουμεν μεταδουναι υμιν ου ὁ ευαγγελιον ὁ θεου μονον αλλα και εαυτων ψυχας διοτι γεγενησθε αγαπητοι ημιν,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
1Th,2,11,extra_word,6,yes,"καθάπερ οἴδατε, ὡς ἕνα ἕκαστον ὑμῶν ὡς πατὴρ τέκνα ἑαυτοῦ",υμας καθαπερ οιδατε ως παρακαλουντες και παραμυθουμενοι και μαρτυρουμενοι εκαστον ενα υμων ως πατηρ εαυτου τεκνα,"EXTRA: DB has 'υμας' (G4771), no TR counterpart anywhere in verse | EXTRA: DB has 'παρακαλουντες' (G3870), no TR counterpart anywhere in verse | EXTRA: DB has 'και' (G2532), no TR counterpart anywhere in verse | EXTRA: DB has 'παραμυθουμενοι' (G3888), no TR counterpart anywhere in verse | EXTRA: DB has 'και' (G2532), no TR counterpart anywhere in verse | EXTRA: DB has 'μαρτυρουμενοι' (G3140), no TR counterpart anywhere in verse"
1Th,2,14,mixed_content,2,yes,"ὑμεῖς γὰρ μιμηταὶ ἐγενήθητε, ἀδελφοί, τῶν ἐκκλησιῶν τοῦ θεοῦ τῶν οὐσῶν ἐν τῇ Ἰουδαίᾳ ἐν Χριστῷ Ἰησοῦ, ὅτι τὰ ταὐτὰ ἐπάθετε καὶ ὑμεῖς ὑπὸ τῶν ἰδίων συμφυλετῶν, καθὼς καὶ αὐτοὶ ὑπὸ τῶν Ἰουδαίων,",γαρ υμεις αδελφοι εγενηθητε μιμηται ὁ εκκλησιων ὁ θεου των εν ὁ ιουδαια ουσων εν χριστω ιησου οτι υμεις και επαθετε ταυτα υπο ιδιων ὁ συμφυλετων και καθως αυτοι υπο ὁ ιουδαιων,"STRONGS MISMATCH: word text matches ('ταὐτὰ'); expected Strong's (TR/TAGNT G5024, cross-walked to this DB's lexeme numbering: G0846/G5024) vs DB actual 'ταυτα'=G3778 | MISSING: TR has 'τῶν' (G3588), no match anywhere in DB verse"
1Th,2,15,word_substitution,1,yes,"τῶν καὶ τὸν κύριον ἀποκτεινάντων Ἰησοῦν καὶ τοὺς ἰδίους προφήτας καὶ ὑμᾶς ἐκδιωξάντων καὶ θεῷ μὴ ἀρεσκόντων καὶ πᾶσιν ἀνθρώποις ἐναντίων,",των και αποκτειναντων ὁ κυριον ιησουν και ιδιους ὁ προφητας και εκδιωξαντων ημας και αρεσκοντων μη θεω και εναντιων πασιν ανθρωποις,"DIFFERENT FORM: same Strong's G5209, TR 'ὑμᾶς' vs DB 'ημας'"
1Th,2,17,strongs_mismatch,1,yes,"Ἡμεῖς δέ, ἀδελφοί, ἀπορφανισθέντες ἀφ᾽ ὑμῶν πρὸς καιρὸν ὥρας προσώπῳ οὐ καρδίᾳ, περισσοτέρως ἐσπουδάσαμεν τὸ πρόσωπον ὑμῶν ἰδεῖν ἐν πολλῇ ἐπιθυμίᾳ.",δε ημεις αδελφοι απορφανισθεντες αφ υμων προς ωρας καιρον προσωπω ου καρδια εσπουδασαμεν περισσοτερως ιδειν υμων ὁ προσωπον εν πολλη επιθυμια,"STRONGS MISMATCH: word text matches ('περισσοτέρως'); expected Strong's (TR/TAGNT G4056, cross-walked to this DB's lexeme numbering: G4056) vs DB actual 'περισσοτερως'=G4057"
1Th,3,5,mixed_content,2,yes,"διὰ τοῦτο κἀγὼ μηκέτι στέγων ἔπεμψα εἰς τὸ γνῶναι τὴν πίστιν ὑμῶν, μή πως ἐπείρασεν ὑμᾶς ὁ πειράζων καὶ εἰς κενὸν γένηται ὁ κόπος ἡμῶν.",ο το τουτο δια καγω μηκετι στεγων επεμψα εις γνωναι υμων ὁ πιστιν μηπως πειραζων επειρασεν υμας και ημων ὁ κοπος γενηται εις κενον,"DIFFERENT FORM: same Strong's G4458, TR 'πως' vs DB 'μηπως' | MISSING: TR has 'μή' (G3361), no match anywhere in DB verse"
1Th,3,10,mixed_content,2,yes,νυκτὸς καὶ ἡμέρας ὑπερεκπερισσοῦ δεόμενοι εἰς τὸ ἰδεῖν ὑμῶν τὸ πρόσωπον καὶ καταρτίσαι τὰ ὑστερήματα τῆς πίστεως ὑμῶν;¶,το νυκτος και ημερας δεομενοι εκπερισσου εις ιδειν υμων ὁ προσωπον και καταρτισαι ὁ υστερηματα υμων ὁ πιστεως υπερ,"DIFFERENT FORM: same Strong's G5228, TR 'ὑπερεκπερισσοῦ' vs DB 'υπερ' | EXTRA: DB has 'εκπερισσου' (G4053), no TR counterpart anywhere in verse"
1Th,4,1,extra_word,1,yes,"Λοιπὸν οὖν, ἀδελφοί, ἐρωτῶμεν ὑμᾶς καὶ παρακαλοῦμεν ἐν κυρίῳ Ἰησοῦ καθὼς παρελάβετε παρ᾽ ἡμῶν τὸ πῶς δεῖ ὑμᾶς περιπατεῖν καὶ ἀρέσκειν θεῷ ἵνα περισσεύητε μᾶλλον·",ὁ λοιπον ουν ερωτωμεν υμας αδελφοι και παρακαλουμεν εν κυριω ιησου καθως παρελαβετε παρ ημων το πως υμας δει περιπατειν και αρεσκειν θεω ινα περισσευητε μαλλον,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
1Th,4,6,mixed_content,2,yes,τὸ μὴ ὑπερβαίνειν καὶ πλεονεκτεῖν ἐν τῷ πράγματι τὸν ἀδελφὸν αὐτοῦ· διότι ἔκδικος ὁ κύριος περὶ πάντων τούτων καθὼς καὶ προείπαμεν ὑμῖν καὶ διεμαρτυράμεθα.,το μη υπερβαινειν και πλεονεκτειν αυτου ὁ αδελφον εν ὁ πραγματι διοτι ὁ κυριος εκδικος περι παντων τουτων καθως προειπαμεν και προειπαμεν υμιν και διεμαρτυραμεθα,"STRONGS MISMATCH: word text matches ('προείπαμεν'); expected Strong's (TR/TAGNT G4277, cross-walked to this DB's lexeme numbering: G4277) vs DB actual 'προειπαμεν'=G4302 | EXTRA: DB has 'προειπαμεν' (G4302), no TR counterpart anywhere in verse"
1Th,4,8,strongs_mismatch,1,yes,τοιγαροῦν ὁ ἀθετῶν οὐκ ἄνθρωπον ἀθετεῖ ἀλλὰ τὸν θεὸν τὸν καὶ δόντα τὸ πνεῦμα αὐτοῦ τὸ ἅγιον εἰς ἡμᾶς,το ο τοιγαρουν αθετων αθετει ουκ ανθρωπον αλλα ὁ θεον τον και δοντα εις ημας αυτου αγιον ὁ πνευμα,"STRONGS MISMATCH: word text matches ('ἡμᾶς'); expected Strong's (TR/TAGNT G2248, cross-walked to this DB's lexeme numbering: G2248/G4771) vs DB actual 'ημας'=G1473"
1Th,5,13,mixed_content,2,yes,καὶ ἡγεῖσθαι αὐτοὺς ὑπερεκπερισσοῦ ἐν ἀγάπῃ διὰ τὸ ἔργον αὐτῶν. εἰρηνεύετε ἐν ἑαυτοῖς.¶,και ηγεισθαι αυτους υπερ εκπερισσου εν αγαπη αυτων ὁ εργον δια ειρηνευετε εν εαυτοις,"DIFFERENT FORM: same Strong's G5228, TR 'ὑπερεκπερισσοῦ' vs DB 'υπερ' | EXTRA: DB has 'εκπερισσου' (G4053), no TR counterpart anywhere in verse"
1Th,5,28,missing_word,6,yes,Ἡ χάρις τοῦ κυρίου ἡμῶν Ἰησοῦ Χριστοῦ μεθ᾽ ὑμῶν. ἀμήν. πρός Θεσσαλονικείς πρώτη ἐγράφη ἀπό Ἀθηνῶν.¶,ὁ χαρις ημων ὁ κυριου ιησου χριστου μεθ υμων αμην,"MISSING: TR has 'πρός' (G4314), no match anywhere in DB verse | MISSING: TR has 'Θεσσαλονικείς' (G2331), no match anywhere in DB verse | MISSING: TR has 'πρώτη' (G4413), no match anywhere in DB verse | MISSING: TR has 'ἐγράφη' (G1125), no match anywhere in DB verse | MISSING: TR has 'ἀπό' (G0575), no match anywhere in DB verse | MISSING: TR has 'Ἀθηνῶν.¶' (G0116), no match anywhere in DB verse"
1Ti,1,4,word_substitution,1,yes,"μηδὲ προσέχειν μύθοις καὶ γενεαλογίαις ἀπεράντοις, αἵτινες ζητήσεις παρέχουσιν μᾶλλον ἢ οἰκονομίαν θεοῦ τὴν ἐν πίστει.",μηδε προσεχειν μυθοις και απεραντοις γενεαλογιαις αιτινες παρεχουσιν ζητησεις μαλλον η θεου οικοδομιαν την εν πιστει,"DIFFERENT FORM: same Strong's G3622, TR 'οἰκονομίαν' vs DB 'οικοδομιαν'"
1Ti,1,12,word_substitution,1,yes,"Καὶ χάριν ἔχω τῷ ἐνδυναμώσαντί με Χριστῷ Ἰησοῦ τῷ κυρίῳ ἡμῶν ὅτι πιστόν με ἡγήσατο θέμενος εἰς διακονίαν,",και χάρις εχω χριστω ιησου ημων ὁ κυριω ὁ ενδυναμωσαντι με οτι ηγησατο με πιστον θεμενος εις διακονιαν,"DIFFERENT FORM: same Strong's G5485, TR 'χάριν' vs DB 'χάρις'"
1Ti,3,11,strongs_mismatch,1,yes,"Γυναῖκας ὡσαύτως σεμνάς, μὴ διαβόλους, νηφαλέους πιστὰς ἐν πᾶσιν.",ωσαυτως γυναικας σεμνας μη διαβολους νηφαλεους πιστας εν πασιν,"STRONGS MISMATCH: word text matches ('νηφαλέους'); expected Strong's (TR/TAGNT G3524, cross-walked to this DB's lexeme numbering: G3524) vs DB actual 'νηφαλεους'=G3542"
1Ti,5,8,mixed_content,2,yes,Εἰ δέ τις τῶν ἰδίων καὶ μάλιστα τῶν οἰκείων οὐ προνοεῖται τὴν πίστιν ἤρνηται καὶ ἔστιν ἀπίστου χείρων.,των των δε ει τις προνοει ου προνοει ιδιων και μαλιστα οικειων ηρνηται ὁ πιστιν και εστιν χειρων απιστου,"DIFFERENT FORM: same Strong's G4306, TR 'προνοεῖται' vs DB 'προνοει' | EXTRA: DB has 'προνοει' (G4306), no TR counterpart anywhere in verse"
1Ti,5,13,strongs_mismatch,1,yes,"ἅμα δὲ καὶ ἀργαὶ μανθάνουσιν περιερχόμεναι τὰς οἰκίας. οὐ μόνον δὲ ἀργαί, ἀλλὰ καὶ φλύαροι καὶ περίεργοι, λαλοῦσαι τὰ μὴ δέοντα.¶",και δε αμα μανθανουσιν αργαι περιερχομεναι ὁ οικιας δε ου μονον αργαι αλλα φλυαροι και και περιεργοι λαλουσαι τα δεοντα μη,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
1Ti,6,11,strongs_mismatch,1,yes,"Σὺ δέ, ὦ ἄνθρωπε τοῦ θεοῦ, ταῦτα φεῦγε, δίωκε δὲ δικαιοσύνην, εὐσέβειαν, πίστιν, ἀγάπην, ὑπομονήν, πρᾳότητα",δε συ ω ανθρωπε ὁ θεου φευγε ταυτα δε διωκε δικαιοσυνην ευσεβειαν πιστιν αγαπην υπομονην πραοτητα,"STRONGS MISMATCH: word text matches ('πρᾳότητα'); expected Strong's (TR/TAGNT G4236, cross-walked to this DB's lexeme numbering: G4236/G6073) vs DB actual 'πραοτητα'=G4240"
1Ti,6,21,extra_word,4,yes,ἥν τινες ἐπαγγελλόμενοι περὶ τὴν πίστιν ἠστόχησαν.¶,ην τινες επαγγελλομενοι ηστοχησαν περι πιστιν ὁ χαρις μετα σου αμην,"EXTRA: DB has 'χαρις' (G5485), no TR counterpart anywhere in verse | EXTRA: DB has 'μετα' (G3326), no TR counterpart anywhere in verse | EXTRA: DB has 'σου' (G4771), no TR counterpart anywhere in verse | EXTRA: DB has 'αμην' (G0281), no TR counterpart anywhere in verse"
2Co,1,7,extra_word,5,yes,"εἰδότες ὅτι ὥσπερ κοινωνοί ἐστε τῶν παθημάτων, οὕτως καὶ τῆς παρακλήσεως.¶",ημων ελπις υπερ υμων βεβαια ειδοτες οτι ωσπερ εστε κοινωνοι ὁ παθηματων ουτως και ὁ παρακλησεως,"EXTRA: DB has 'ημων' (G1473), no TR counterpart anywhere in verse | EXTRA: DB has 'ελπις' (G1680), no TR counterpart anywhere in verse | EXTRA: DB has 'υπερ' (G5228), no TR counterpart anywhere in verse | EXTRA: DB has 'υμων' (G4771), no TR counterpart anywhere in verse | EXTRA: DB has 'βεβαια' (G0949), no TR counterpart anywhere in verse"
2Co,1,12,strongs_mismatch,1,yes,"ἡ γὰρ καύχησις ἡμῶν αὕτη ἐστίν, τὸ μαρτύριον τῆς συνειδήσεως ἡμῶν, ὅτι ἐν ἁπλότητι καὶ εἰλικρινείᾳ θεοῦ, οὐκ ἐν σοφίᾳ σαρκικῇ ἀλλ᾽ ἐν χάριτι θεοῦ ἀνεστράφημεν ἐν τῷ κόσμῳ, περισσοτέρως δὲ πρὸς ὑμᾶς.",η γαρ ημων καυχησις εστιν αυτη ὁ μαρτυριον ημων ὁ συνειδησεως οτι εν απλοτητι και θεου ειλικρινεια ουκ εν σαρκικη σοφια αλλ εν χαριτι θεου ανεστραφημεν εν ὁ κοσμω δε περισσοτερως προς υμας,"STRONGS MISMATCH: word text matches ('περισσοτέρως'); expected Strong's (TR/TAGNT G4056, cross-walked to this DB's lexeme numbering: G4056) vs DB actual 'περισσοτερως'=G4057"
2Co,1,15,strongs_mismatch,1,yes,"Καὶ ταύτῃ τῇ πεποιθήσει ἐβουλόμην πρότερον πρὸς ὑμᾶς ἐλθεῖν, ἵνα δευτέραν χάριν ἔχῆτε",και ταυτη ὁ πεποιθησει εβουλομην ελθειν προς υμας προτερον ινα εχητε δευτεραν χαριν,"STRONGS MISMATCH: word text matches ('πρότερον'); expected Strong's (TR/TAGNT G4387, cross-walked to this DB's lexeme numbering: G4387) vs DB actual 'προτερον'=G4386"
2Co,1,17,mixed_content,2,yes,"τοῦτο οὖν βουλευόμενος μήτι ἄρα τῇ ἐλαφρίᾳ ἐχρησάμην, ἢ ἃ βουλεύομαι κατὰ σάρκα βουλεύομαι, ἵνα ᾖ παρ᾽ ἐμοὶ τὸ ναὶ ναὶ καὶ τὸ οὒ οὔ;",ουν τουτο βουλευομενος μη τι αρα εχρησαμην ὁ ελαφρια η α βουλευομαι βουλευομαι κατα σαρκα ινα παρ εμοι η το ναι ναι και το ου ου,"DIFFERENT FORM: same Strong's G3385, TR 'μήτι' vs DB 'μη' | EXTRA: DB has 'τι' (G5100), no TR counterpart anywhere in verse"
2Co,2,4,strongs_mismatch,1,yes,"ἐκ γὰρ πολλῆς θλίψεως καὶ συνοχῆς καρδίας ἔγραψα ὑμῖν διὰ πολλῶν δακρύων, οὐχ ἵνα λυπηθῆτε, ἀλλὰ τὴν ἀγάπην ἵνα γνῶτε ἣν ἔχω περισσοτέρως εἰς ὑμᾶς.¶",γαρ εκ πολλης θλιψεως και συνοχης καρδιας εγραψα υμιν δια πολλων δακρυων ουχ ινα λυπηθητε αλλα ινα γνωτε ὁ αγαπην ην εχω περισσοτερως εις υμας,"STRONGS MISMATCH: word text matches ('περισσοτέρως'); expected Strong's (TR/TAGNT G4056, cross-walked to this DB's lexeme numbering: G4056) vs DB actual 'περισσοτερως'=G4057"
2Co,2,7,mixed_content,3,yes,"ὥστε τοὐναντίον μᾶλλον ὑμᾶς χαρίσασθαι καὶ παρακαλέσαι, μή πως τῇ περισσοτέρᾳ λύπῃ καταποθῇ ὁ τοιοῦτος.",ο τη ωστε τουναντιον υμας μαλλον χαρισασθαι και παρακαλεσαι μηπως τοιουτος καταποθη περισσοτερα λυπη,"STRONGS MISMATCH: word text matches ('περισσοτέρᾳ'); expected Strong's (TR/TAGNT G4055, cross-walked to this DB's lexeme numbering: G4055) vs DB actual 'περισσοτερα'=G4053 | DIFFERENT FORM: same Strong's G4458, TR 'πως' vs DB 'μηπως' | MISSING: TR has 'μή' (G3361), no match anywhere in DB verse"
2Co,2,10,missing_word,1,yes,"ᾧ δέ τι χαρίζεσθε, κἀγώ· καὶ γὰρ ἐγὼ κεχάρισμαι, εἴ τι κεχάρισμαι, δι᾽ ὑμᾶς ἐν προσώπῳ Χριστοῦ,",δε χαριζεσθε τι και γαρ ει εγω κεχαρισμαι τι ω κεχαρισμαι δι υμας εν προσωπω χριστου,"MISSING: TR has 'κἀγώ·' (G1473), no match anywhere in DB verse"
2Co,2,13,extra_word,1,yes,"οὐκ ἔσχηκα ἄνεσιν τῷ πνεύματί μου τῷ μὴ εὑρεῖν με Τίτον τὸν ἀδελφόν μου, ἀλλ᾽ ἀποταξάμενος αὐτοῖς ἐξῆλθον εἰς Μακεδονίαν.¶",τω εσχηκα ουκ ανεσιν ὁ μου ὁ πνευματι με ευρειν μη τιτον μου ὁ αδελφον αλλα αποταξαμενος αυτοις εξηλθον εις μακεδονιαν,"EXTRA: DB has 'ὁ' (G3588), no TR counterpart anywhere in verse"
2Co,3,14,extra_word,2,yes,"ἀλλ᾽ ἐπωρώθη τὰ νοήματα αὐτῶν. ἄχρι γὰρ τῆς σήμερον τὸ αὐτὸ κάλυμμα ἐπὶ τῇ ἀναγνώσει τῆς παλαιᾶς διαθήκης μένει μὴ ἀνακαλυπτόμενον, ἐν Χριστῷ καταργεῖται,",αλλ αυτων ὁ νοηματα επωρωθη γαρ αχρι της σημερον μενει ὁ αυτο καλυμμα μη ανακαλυπτομενον επι ὁ αναγνωσει ὁ παλαιας διαθηκης ο τι καταργειται εν χριστω,"EXTRA: DB has 'ο' (G3739), no TR counterpart anywhere in verse | EXTRA: DB has 'τι' (G5100), no TR counterpart anywhere in verse"
2Co,5,3,mixed_content,2,yes,εἴ γε καὶ ἐνδυσάμενοι οὐ γυμνοὶ εὑρεθησόμεθα.,ειγε και ενδυσαμενοι ευρεθησομεθα ου γυμνοι,"STRONGS MISMATCH: word text matches ('γε'); expected Strong's (TR/TAGNT G1065, cross-walked to this DB's lexeme numbering: G1065) vs DB actual 'ειγε'=G1489 | MISSING: TR has 'εἴ' (G1487), no match anywhere in DB verse"
2Co,5,4,mixed_content,2,yes,"καὶ γὰρ οἱ ὄντες ἐν τῷ σκήνει στενάζομεν βαρούμενοι, ἐπειδή οὐ θέλομεν ἐκδύσασθαι ἀλλ᾽ ἐπενδύσασθαι, ἵνα καταποθῇ τὸ θνητὸν ὑπὸ τῆς ζωῆς.¶",καί γαρ ὁ οντες εν ὁ σκηνει στεναζομεν βαρουμενοι ου εφ ω θελομεν εκδυσασθαι αλλ επενδυσασθαι ινα ὁ θνητον καταποθη υπο ὁ ζωης,"DIFFERENT FORM: same Strong's G1894, TR 'ἐπειδή' vs DB 'εφ' | EXTRA: DB has 'ω' (G3739), no TR counterpart anywhere in verse"
2Co,6,15,word_substitution,1,yes,τίς δὲ συμφώνησις Χριστῷ πρὸς Βελιάρ; ἢ τίς μερὶς πιστῷ μετὰ ἀπίστου;,δε τις συμφωνησις χριστω προς βελιαλ η τις μερις πιστω μετα απιστου,"DIFFERENT FORM: same Strong's G0955, TR 'Βελιάρ;' vs DB 'βελιαλ'"
2Co,6,16,strongs_mismatch,1,yes,"τίς δὲ συγκατάθεσις ναῷ θεοῦ μετὰ εἰδώλων; Ὑμεῖς γὰρ ναὸς θεοῦ ἐστε ζῶντος, καθὼς εἶπεν ὁ θεὸς ὅτι ἐνοικήσω ἐν αὐτοῖς καὶ ἐμπεριπατήσω, καὶ ἔσομαι αὐτῶν θεὸς καὶ αὐτοὶ ἔσονταί μοι λαός.",δε τις συγκαταθεσις ναω θεου μετα ειδωλων γαρ υμεις εστε ναος ζωντος θεου καθως ὁ θεος ειπεν οτι ενοικησω εν αυτοις και εμπεριπατησω και εσομαι αυτων θεος και αυτοι εσονται μοι λαος,"STRONGS MISMATCH: word text matches ('Ὑμεῖς'); expected Strong's (TR/TAGNT G5210, cross-walked to this DB's lexeme numbering: G1473/G3165/G5210) vs DB actual 'υμεις'=G4771"
2Co,7,3,strongs_mismatch,1,yes,πρὸς κατάκρισιν οὐ λέγω· προείρηκα γὰρ ὅτι ἐν ταῖς καρδίαις ἡμῶν ἐστε εἰς τὸ συναποθανεῖν καὶ συζῆν.,το λεγω ου προς κατακρισιν γαρ προειρηκα οτι εστε εν ημων ὁ καρδιαις εις συναποθανειν και συζην,"STRONGS MISMATCH: word text matches ('προείρηκα'); expected Strong's (TR/TAGNT G4280, cross-walked to this DB's lexeme numbering: G4280) vs DB actual 'προειρηκα'=G4302"
2Co,7,7,strongs_mismatch,1,yes,"οὐ μόνον δὲ ἐν τῇ παρουσίᾳ αὐτοῦ, ἀλλὰ καὶ ἐν τῇ παρακλήσει ᾗ παρεκλήθη ἐφ᾽ ὑμῖν ἀναγγέλλων ἡμῖν τὴν ὑμῶν ἐπιπόθησιν, τὸν ὑμῶν ὀδυρμόν, τὸν ὑμῶν ζῆλον ὑπὲρ ἐμοῦ, ὥστε με μᾶλλον χαρῆναι.",δε ου εν αυτου ὁ παρουσια μονον αλλα και εν ὁ παρακλησει η παρεκληθη εφ υμιν αναγγελλων ημιν υμων ὁ επιποθησιν υμων ὁ οδυρμον υμων ὁ ζηλον υπερ εμου ωστε με χαρηναι μαλλον,"STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440"
2Co,7,13,mixed_content,2,yes,"διὰ τοῦτο παρακεκλήμεθα.¶ Ἐπὶ τῇ παρακλήσει ὑμῶν περισσοτέρως δὲ μᾶλλον ἐχάρημεν ἐπὶ τῇ χαρᾷ Τίτου, ὅτι ἀναπέπαυται τὸ πνεῦμα αὐτοῦ ἀπὸ πάντων ὑμῶν,",δια τουτο παρακεκλημεθα επι ὁ παρακλησει δε περισσοτερως μαλλον εχαρημεν επι ὁ χαρα τιτου οτι αυτου ὁ πνευμα αναπεπαυται απο υμων παντων,"STRONGS MISMATCH: word text matches ('περισσοτέρως'); expected Strong's (TR/TAGNT G4056, cross-walked to this DB's lexeme numbering: G4056) vs DB actual 'περισσοτερως'=G4057 | MISSING: TR has 'ὑμῶν' (G5216), no match anywhere in DB verse"
2Co,7,15,strongs_mismatch,1,yes,"καὶ τὰ σπλάγχνα αὐτοῦ περισσοτέρως εἰς ὑμᾶς ἐστιν ἀναμιμνῃσκομένου τὴν πάντων ὑμῶν ὑπακοήν, ὡς μετὰ φόβου καὶ τρόμου ἐδέξασθε αὐτόν.",την και αυτου ὁ σπλαγχνα εστιν περισσοτερως εις υμας αναμιμνησκομενου υπακοην υμων παντων ως μετα φοβου και τρομου εδεξασθε αυτον,"STRONGS MISMATCH: word text matches ('περισσοτέρως'); expected Strong's (TR/TAGNT G4056, cross-walked to this DB's lexeme numbering: G4056) vs DB actual 'περισσοτερως'=G4057"
2Co,7,16,extra_word,1,yes,χαίρω ὅτι ἐν παντὶ θαρρῶ ἐν ὑμῖν.¶,χαιρω ουν οτι θαρρω εν υμιν εν παντι,"EXTRA: DB has 'ουν' (G3767), no TR counterpart anywhere in verse"
2Co,8,7,strongs_mismatch,2,yes,"ἀλλ᾽ ὥσπερ ἐν παντὶ περισσεύετε, πίστει καὶ λόγῳ καὶ γνώσει καὶ πάσῃ σπουδῇ καὶ τῇ ἐξ ὑμῶν ἐν ἡμῖν ἀγάπῃ, ἵνα καὶ ἐν ταύτῃ τῇ χάριτι περισσεύητε.",τη αλλ ωσπερ περισσευετε εν παντι πιστει και λογω και γνωσει και παση σπουδη και εξ υμων αγαπη εν ημιν ινα περισσευητε εν ταυτη ὁ χαριτι και,"STRONGS MISMATCH: word text matches ('ὑμῶν'); expected Strong's (TR/TAGNT G5216, cross-walked to this DB's lexeme numbering: G1473/G3165/G5216) vs DB actual 'υμων'=G4771 | STRONGS MISMATCH: word text matches ('ἡμῖν'); expected Strong's (TR/TAGNT G2254, cross-walked to this DB's lexeme numbering: G2254/G4771) vs DB actual 'ημιν'=G1473"
2Co,8,10,mixed_content,3,yes,"καὶ γνώμην ἐν τούτῳ δίδωμι· τοῦτο γὰρ ὑμῖν συμφέρει, οἵτινες οὐ μόνον τὸ ποιῆσαι ἀλλὰ καὶ τὸ θέλειν προενήρξασθε ἀπὸ πέρυσι.",και τουτω διδωμι γνωμην γαρ τουτο συμφερει υμιν οιτινες προενηρξασθε ου μονον ὁ ποιησαι αλλα και ὁ θελειν απο περυσι,"STRONGS MISMATCH: word text matches ('τούτῳ'); expected Strong's (TR/TAGNT G3778, cross-walked to this DB's lexeme numbering: G3778/G5129) vs DB actual 'τουτω'=G1722 | STRONGS MISMATCH: word text matches ('μόνον'); expected Strong's (TR/TAGNT G3441, cross-walked to this DB's lexeme numbering: G3441) vs DB actual 'μονον'=G3440 | MISSING: TR has 'ἐν' (G1722), no match anywhere in DB verse"
